Sample_ID	Negative	Picogreen	Sample_type	Generation	Hive	BeeNum	Pair	CopyNum_norm	Inoculum_type
FH1-8.F2	FALSE	26.84	Gut-Feces	2	1	8	2_1_8	68339330.19	Diluted_feces
FH1-10.F2	FALSE	32.72	Gut-Feces	2	1	10	2_1_10	70417345.66	Diluted_feces
FH5-2.F2	FALSE	24.68	Gut-Feces	2	5	2	2_5_2	31648007.87	Diluted_feces
FH5-3.F2	FALSE	17.69	Gut-Feces	2	5	3	2_5_3	98202968.61	Diluted_feces
FH5-5.F2	FALSE	20.91	Gut-Feces	2	5	5	2_5_5	139293053.4	Diluted_feces
FH5-9.F2	FALSE	22.66	Gut-Feces	2	5	9	2_5_9	38077178.19	Diluted_feces
FH5-10.F2	FALSE	27.35	Gut-Feces	2	5	10	2_5_10	48671026.47	Diluted_feces
FH10-4.F2	FALSE	22.72	Gut-Feces	2	10	4	2_10_4	71813138.97	Diluted_feces
FH10-5.F2	FALSE	28.82	Gut-Feces	2	10	5	2_10_5	41696802.91	Diluted_feces
FH10-6.F2	FALSE	22.42	Gut-Feces	2	10	6	2_10_6	25955197.82	Diluted_feces
FH10-7.F2	FALSE	31.5	Gut-Feces	2	10	7	2_10_7	47847506.06	Diluted_feces
FH15-1.F2	FALSE	24.21	Gut-Feces	2	15	1	2_15_1	191031558.8	Diluted_feces
FH15-2.F2	FALSE	17.78	Gut-Feces	2	15	2	2_15_2	72276181.29	Diluted_feces
FH15-4.F2	FALSE	26.1	Gut-Feces	2	15	4	2_15_4	69536338.86	Diluted_feces
FH15-6.F2	FALSE	25.53	Gut-Feces	2	15	6	2_15_6	69408096.14	Diluted_feces
FH15-7.F2	FALSE	26.59	Gut-Feces	2	15	7	2_15_7	97537575.8	Diluted_feces
GH1-3.G2	FALSE	23.94	Gut	2	1	3	2_1_3	32921076.19	Gut_homogenate
GH1-5.G2	FALSE	23.79	Gut	2	1	5	2_1_5	80419840.24	Gut_homogenate
GH1-6.G2	FALSE	30.16	Gut	2	1	6	2_1_6	175794291.7	Gut_homogenate
GH1-8.G2	FALSE	24.63	Gut	2	1	8	2_1_8	171607997.5	Gut_homogenate
GH1-10.G2	FALSE	30.85	Gut	2	1	10	2_1_10	125569836.7	Gut_homogenate
GH5-2.G2	FALSE	25.08	Gut	2	5	2	2_5_2	50965312.2	Gut_homogenate
GH5-3.G2	FALSE	24.21	Gut	2	5	3	2_5_3	98462060.39	Gut_homogenate
GH5-5.G2	FALSE	26.84	Gut	2	5	5	2_5_5	46799874.4	Gut_homogenate
GH5-9.G2	FALSE	21.11	Gut	2	5	9	2_5_9	84571346.52	Gut_homogenate
GH5-10.G2	FALSE	17.24	Gut	2	5	10	2_5_10	27364890.37	Gut_homogenate
GH10-2.G2	FALSE	26	Gut	2	10	2	2_10_2	72506928.48	Gut_homogenate
GH10-4.G2	FALSE	18.71	Gut	2	10	4	2_10_4	56042892.33	Gut_homogenate
GH10-5.G2	FALSE	28.02	Gut	2	10	5	2_10_5	98047284.84	Gut_homogenate
GH10-6.G2	FALSE	26.33	Gut	2	10	6	2_10_6	9356332.098	Gut_homogenate
GH10-7.G2	FALSE	25.35	Gut	2	10	7	2_10_7	59862226.78	Gut_homogenate
GH15-1.G2	FALSE	20.55	Gut	2	15	1	2_15_1	83865718.57	Gut_homogenate
GH15-2.G2	FALSE	24.5	Gut	2	15	2	2_15_2	45817813.28	Gut_homogenate
GH15-4.G2	FALSE	23.12	Gut	2	15	4	2_15_4	106169869.5	Gut_homogenate
GH15-6.G2	FALSE	21.25	Gut	2	15	6	2_15_6	12430452.26	Gut_homogenate
GH15-7.G2	FALSE	26.06	Gut	2	15	7	2_15_7	90742594.29	Gut_homogenate
FH10-2.F2	FALSE		Gut-Feces	2	10	2	2_10_2		Diluted_feces
Blank1	TRUE	0.05	Control						
Blank2	TRUE	0.07	Control						
Blank3	TRUE	0.05	Control						
Blank4	TRUE	0.07	Control						
Blank5	TRUE	0.1	Control						
Blank6	TRUE	0.07	Control						
Blank7	TRUE	0.05	Control						
Blank8	TRUE	0.05	Control						
Blank9	TRUE	0.05	Control						
Blank10	TRUE	0.06	Control						
Blank11	TRUE	0.07	Control						
Blank12	TRUE	0.07	Control						
Blank13	TRUE	0.08	Control						
Blank14	TRUE	0.07	Control						
PCRblank	TRUE	0.05	Control						
Blank	TRUE	0.04	Control						
